;UF_Destino;UF_origem;Origem;Destino;KM;PED;Pton;Preco;Produto;Especie;Veiculo_1;Veiculo_2;Ano;Mes;Dia
4045;GO;PR;São José Dos Pinhais;Rio Verde;1325;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4046;GO;PR;São José Dos Pinhais;Doverlandia;1359;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4047;PA;PR;São José Dos Pinhais;Medicilandia;3334;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4048;PA;PR;São José Dos Pinhais;Altamira;3249;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4049;PA;PR;São José Dos Pinhais;Altamira;3249;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4050;PA;PR;São José Dos Pinhais;Altamira;3249;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4051;PA;PR;São José Dos Pinhais;Altamira;3249;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4052;PA;PR;São José Dos Pinhais;Altamira;3249;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4053;PA;PR;São José Dos Pinhais;Altamira;3249;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4054;PA;PR;São José Dos Pinhais;Altamira;3249;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4055;RJ;PR;São José Dos Pinhais;Sao Joao Da Barra;1158;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4056;RJ;PR;São José Dos Pinhais;Sao Joao Da Barra;1158;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4057;RJ;PR;São José Dos Pinhais;Sao Joao Da Barra;1158;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4058;RJ;PR;São José Dos Pinhais;Sao Joao Da Barra;1158;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4059;RJ;PR;São José Dos Pinhais;Sao Joao Da Barra;1158;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4060;RJ;PR;São José Dos Pinhais;Sao Joao Da Barra;1158;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4061;RJ;PR;São José Dos Pinhais;Sao Joao Da Barra;1158;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4062;RJ;PR;São José Dos Pinhais;Sao Joao Da Barra;1158;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4063;RJ;PR;São José Dos Pinhais;Sao Joao Da Barra;1158;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4064;RJ;PR;São José Dos Pinhais;Sao Joao Da Barra;1158;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4065;RJ;PR;São José Dos Pinhais;Sao Joao Da Barra;1158;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4066;RJ;PR;São José Dos Pinhais;Sao Joao Da Barra;1158;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4067;RJ;PR;São José Dos Pinhais;Sao Joao Da Barra;1158;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4068;RJ;PR;São José Dos Pinhais;Sao Joao Da Barra;1158;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
4069;RJ;PR;São José Dos Pinhais;Campos Dos Goytacazes;1122;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
